
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
08:AA:89:6D:36:A8, 2024-12-24 20:17:33, 2024-12-24 20:18:06,  9, 130, WPA2, CCMP, PSK, -59,      217,    12243,   0.  0.  0.  0,  18, OZONE_COFFEE_HOUSE, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5C:61:99:03:68:95, 2024-12-24 20:17:33, 2024-12-24 20:18:06, -20,     1884, 08:AA:89:6D:36:A8,
5A:8D:52:B4:55:AA, 2024-12-24 20:17:33, 2024-12-24 20:18:06, -40,     1947, 08:AA:89:6D:36:A8,
9E:87:D1:60:6E:D0, 2024-12-24 20:17:33, 2024-12-24 20:18:06, -78,      271, 08:AA:89:6D:36:A8,
B2:55:36:85:3B:8D, 2024-12-24 20:17:33, 2024-12-24 20:18:06, -30,     3810, 08:AA:89:6D:36:A8,
9A:4B:A4:DF:18:81, 2024-12-24 20:17:33, 2024-12-24 20:18:06, -44,      627, 08:AA:89:6D:36:A8,
A4:F9:33:D1:DE:D1, 2024-12-24 20:17:33, 2024-12-24 20:18:05, -42,      295, 08:AA:89:6D:36:A8,
52:DC:8C:F0:60:6A, 2024-12-24 20:17:33, 2024-12-24 20:18:06, -44,      609, 08:AA:89:6D:36:A8,
76:C9:16:95:0B:44, 2024-12-24 20:17:33, 2024-12-24 20:18:05, -68,       25, 08:AA:89:6D:36:A8,
FA:5B:78:75:29:59, 2024-12-24 20:17:33, 2024-12-24 20:18:05, -36,      103, 08:AA:89:6D:36:A8,
C6:0E:DB:54:9C:BE, 2024-12-24 20:17:33, 2024-12-24 20:18:05, -42,      484, 08:AA:89:6D:36:A8,
FC:94:35:21:45:8D, 2024-12-24 20:17:33, 2024-12-24 20:18:06, -50,     4013, 08:AA:89:6D:36:A8,
D6:42:AA:26:92:53, 2024-12-24 20:17:33, 2024-12-24 20:18:06, -68,      112, 08:AA:89:6D:36:A8,
1E:89:7F:39:DE:26, 2024-12-24 20:17:33, 2024-12-24 20:18:04, -64,       34, 08:AA:89:6D:36:A8,
7A:1C:AB:B8:03:89, 2024-12-24 20:17:33, 2024-12-24 20:18:06, -50,      446, 08:AA:89:6D:36:A8,
CA:C7:6F:AC:27:13, 2024-12-24 20:17:33, 2024-12-24 20:18:06, -42,      304, 08:AA:89:6D:36:A8,
32:9E:FA:62:51:29, 2024-12-24 20:17:33, 2024-12-24 20:18:06, -62,      206, 08:AA:89:6D:36:A8,
CA:34:5E:78:1A:C8, 2024-12-24 20:17:34, 2024-12-24 20:18:03, -72,      189, 08:AA:89:6D:36:A8,
76:F3:F7:AD:FA:FA, 2024-12-24 20:17:34, 2024-12-24 20:18:06, -36,      275, 08:AA:89:6D:36:A8,
92:48:C4:16:84:5E, 2024-12-24 20:17:34, 2024-12-24 20:18:05, -34,       85, 08:AA:89:6D:36:A8,
1A:E2:C1:D4:B3:EC, 2024-12-24 20:17:35, 2024-12-24 20:18:06, -46,     2417, 08:AA:89:6D:36:A8,
96:DF:E6:5B:D4:1D, 2024-12-24 20:17:36, 2024-12-24 20:18:06, -46,      206, 08:AA:89:6D:36:A8,
68:72:C3:BD:D0:4E, 2024-12-24 20:17:39, 2024-12-24 20:18:05, -40,       29, 08:AA:89:6D:36:A8,
80:91:33:9C:9E:35, 2024-12-24 20:17:52, 2024-12-24 20:18:06, -44,       86, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE

