
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
08:AA:89:6D:36:A8, 2025-03-18 22:24:09, 2025-03-18 22:28:48,  4, 130, WPA2, CCMP, PSK, -61,      127,     3589,   0.  0.  0.  0,  18, OZONE_COFFEE_HOUSE, 
CA:E7:DA:F1:25:3B, 2025-03-18 22:24:09, 2025-03-18 22:28:47,  1, 360, WPA2, CCMP, PSK, -44,      128,        0,   0.  0.  0.  0,  28, DIRECT-XZLAPTOP-T86IDBAHmsLQ, 
2E:A4:FE:C4:6B:C2, 2025-03-18 22:24:11, 2025-03-18 22:28:46, 11, 180, WPA2, CCMP, PSK, -56,       89,       11,   0.  0.  0.  0,  17, Redmi Note 10 Pro, 
90:03:2E:8F:A6:79, 2025-03-18 22:24:12, 2025-03-18 22:28:43, 11, 130, WPA2, CCMP TKIP, PSK, -63,       47,        0,   0.  0.  0.  0,  17, Ooredoo-ALHN-FDD1, 
92:03:2E:CF:A6:79, 2025-03-18 22:24:12, 2025-03-18 22:28:42, 11, 130, WPA2, CCMP, PSK, -62,       64,        0,   0.  0.  0.  0,   0, , 
76:63:B5:53:E1:A9, 2025-03-18 22:24:12, 2025-03-18 22:28:47,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -63,       24,        1,   0.  0.  0.  0,  11, iPhone 😈, 
5E:B6:2C:B6:C3:E8, 2025-03-18 22:24:12, 2025-03-18 22:28:47,  1,  65, WPA2, CCMP, PSK, -41,      109,        5,   0.  0.  0.  0,  14, Galaxy A5131B2, 
7C:99:2E:13:30:E2, 2025-03-18 22:24:18, 2025-03-18 22:25:54,  9, 130, WPA2, CCMP, PSK, -67,        2,        0,   0.  0.  0.  0,  14, Ooredoo-1330E2, 
EA:65:CB:D9:DF:CF, 2025-03-18 22:24:30, 2025-03-18 22:24:34,  6,  65, WPA2, CCMP, PSK, -66,        2,        0,   0.  0.  0.  0,  14, Galaxy A133A3B, 
08:62:00:00:33:33, 2025-03-18 22:24:53, 2025-03-18 22:25:23, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
08:62:00:00:01:00, 2025-03-18 22:24:57, 2025-03-18 22:25:23, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
08:42:00:00:01:00, 2025-03-18 22:24:57, 2025-03-18 22:24:57, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
22:D7:7A:91:09:82, 2025-03-18 22:25:00, 2025-03-18 22:28:43,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -66,        5,        0,   0.  0.  0.  0,   6, iPhone, 
00:16:5E:B6:2C:B6, 2025-03-18 22:25:04, 2025-03-18 22:25:04, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
08:42:00:00:FF:FF, 2025-03-18 22:25:19, 2025-03-18 22:25:19, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:FB:5E:B6:2C:B6, 2025-03-18 22:26:07, 2025-03-18 22:26:07, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:E0:4C:E8:50:A8, 2025-03-18 22:26:48, 2025-03-18 22:27:37,  7, 130, WPA2, CCMP TKIP, PSK, -66,        2,        0,   0.  0.  0.  0,  13, LELLA-HABIBA2, 
50:3C:CA:5C:E3:63, 2025-03-18 22:28:09, 2025-03-18 22:28:17, 11, 130, WPA2, CCMP, PSK, -56,        5,        0,   0.  0.  0.  0,  11, Airbox-E363, 
74:FE:CE:2B:9E:BE, 2025-03-18 22:28:17, 2025-03-18 22:28:17, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
92:48:C4:16:84:5E, 2025-03-18 22:24:09, 2025-03-18 22:28:48, -16,      149, 08:AA:89:6D:36:A8,
D6:DD:1E:30:CF:BC, 2025-03-18 22:24:09, 2025-03-18 22:24:09, -48,        2, (not associated) ,TOPNET_4040
5E:04:78:7B:DB:C4, 2025-03-18 22:24:10, 2025-03-18 22:28:32, -52,      146, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
F6:E3:5D:B9:BF:EE, 2025-03-18 22:24:10, 2025-03-18 22:24:10, -38,        1, (not associated) ,
AA:C8:50:6E:1D:80, 2025-03-18 22:24:10, 2025-03-18 22:28:45, -66,       99, 08:AA:89:6D:36:A8,Euphoria bistrot
DA:87:87:99:0A:B0, 2025-03-18 22:24:10, 2025-03-18 22:28:48, -46,      186, 08:AA:89:6D:36:A8,
F8:1A:2B:FE:AA:24, 2025-03-18 22:24:10, 2025-03-18 22:28:48, -56,      499, 08:AA:89:6D:36:A8,
5C:61:99:03:68:95, 2025-03-18 22:24:10, 2025-03-18 22:28:48, -20,     1906, 08:AA:89:6D:36:A8,
1A:E2:C1:D4:B3:EC, 2025-03-18 22:24:10, 2025-03-18 22:28:45, -60,      567, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE,TOPNET_3FB0,Boosteno_Guest,HUAWEI Y6 Prime 2019,Ooredoo1EEF1F
0A:71:DF:B3:BD:35, 2025-03-18 22:24:10, 2025-03-18 22:28:48, -58,      210, 08:AA:89:6D:36:A8,
96:A8:65:4C:D6:86, 2025-03-18 22:24:10, 2025-03-18 22:28:45, -46,      132, 08:AA:89:6D:36:A8,
DA:AF:70:B1:D9:5B, 2025-03-18 22:24:11, 2025-03-18 22:28:48, -52,      595, 08:AA:89:6D:36:A8,Coffee twins,OZONE_COFFEE_HOUSE
FC:AB:90:04:13:CA, 2025-03-18 22:24:11, 2025-03-18 22:28:45, -58,      149, 08:AA:89:6D:36:A8,
1C:9F:4E:0E:35:7F, 2025-03-18 22:24:11, 2025-03-18 22:27:39, -72,       94, 08:AA:89:6D:36:A8,
92:79:8F:B2:A8:B4, 2025-03-18 22:24:11, 2025-03-18 22:28:48, -62,      622, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
02:56:9A:12:66:20, 2025-03-18 22:24:11, 2025-03-18 22:28:31, -46,      236, 08:AA:89:6D:36:A8,
6E:10:F3:D9:7F:3F, 2025-03-18 22:24:11, 2025-03-18 22:28:45, -44,      472, 08:AA:89:6D:36:A8,
00:45:E2:D3:31:01, 2025-03-18 22:24:11, 2025-03-18 22:28:48, -52,     1522, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
8A:BE:75:62:0D:07, 2025-03-18 22:24:11, 2025-03-18 22:28:26, -60,       72, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
FA:5B:78:75:29:59, 2025-03-18 22:24:11, 2025-03-18 22:28:45, -64,       59, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
22:B0:C7:4D:7A:79, 2025-03-18 22:24:11, 2025-03-18 22:28:48, -46,     1102, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
7A:DC:CE:8C:91:9C, 2025-03-18 22:24:11, 2025-03-18 22:28:42, -64,       76, 08:AA:89:6D:36:A8,
40:8E:F6:C8:DE:E3, 2025-03-18 22:24:11, 2025-03-18 22:28:48, -44,      299, 08:AA:89:6D:36:A8,
26:DC:B8:64:BB:A0, 2025-03-18 22:24:11, 2025-03-18 22:28:46, -66,      128, 08:AA:89:6D:36:A8,
4E:AF:3F:2F:A5:D9, 2025-03-18 22:24:12, 2025-03-18 22:28:39, -58,       37, 2E:A4:FE:C4:6B:C2,
4A:20:4C:84:86:74, 2025-03-18 22:24:12, 2025-03-18 22:24:12, -58,        1, (not associated) ,OZONE_COFFEE_HOUSE
0E:D2:8C:67:42:42, 2025-03-18 22:24:15, 2025-03-18 22:28:48, -54,       61, 08:AA:89:6D:36:A8,
BA:A6:77:16:34:1B, 2025-03-18 22:24:15, 2025-03-18 22:28:42, -56,      388, 08:AA:89:6D:36:A8,
36:6A:59:C0:04:A8, 2025-03-18 22:24:15, 2025-03-18 22:28:45, -56,      175, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
CA:31:73:D5:86:72, 2025-03-18 22:24:17, 2025-03-18 22:28:45, -44,       56, 08:AA:89:6D:36:A8,
CA:1D:C6:79:BA:49, 2025-03-18 22:24:18, 2025-03-18 22:24:18, -52,        1, (not associated) ,TOPNET_4040
4A:20:4C:DA:DA:CA, 2025-03-18 22:24:20, 2025-03-18 22:24:20, -48,        2, (not associated) ,OZONE_COFFEE_HOUSE
90:10:06:C7:4C:CF, 2025-03-18 22:24:21, 2025-03-18 22:28:45, -44,       56, 08:AA:89:6D:36:A8,
66:FE:8E:BA:0C:1D, 2025-03-18 22:24:21, 2025-03-18 22:24:21, -54,        3, (not associated) ,Qualite
