
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
08:AA:89:6D:36:A8, 2025-03-18 22:25:11, 2025-03-18 22:27:08,  4, 130, WPA2, CCMP, PSK, -48,       54,     1558,   0.  0.  0.  0,  18, OZONE_COFFEE_HOUSE, 
5E:B6:2C:B6:C3:E8, 2025-03-18 22:25:11, 2025-03-18 22:27:07,  1,  65, WPA2, CCMP, PSK, -44,       43,        2,   0.  0.  0.  0,  14, Galaxy A5131B2, 
2E:A4:FE:C4:6B:C2, 2025-03-18 22:25:14, 2025-03-18 22:27:06, 11, 180, WPA2, CCMP, PSK, -59,       34,       10,   0.  0.  0.  0,  17, Redmi Note 10 Pro, 
92:03:2E:CF:A6:79, 2025-03-18 22:25:14, 2025-03-18 22:27:06, 11, 130, WPA2, CCMP, PSK, -64,       24,        0,   0.  0.  0.  0,   0, , 
08:42:00:00:FF:FF, 2025-03-18 22:25:19, 2025-03-18 22:25:19, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
08:62:00:00:33:33, 2025-03-18 22:25:19, 2025-03-18 22:25:23, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
08:62:00:00:01:00, 2025-03-18 22:25:19, 2025-03-18 22:25:23, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
22:D7:7A:91:09:82, 2025-03-18 22:25:22, 2025-03-18 22:26:55,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -73,        2,        0,   0.  0.  0.  0,   6, iPhone, 
76:63:B5:53:E1:A9, 2025-03-18 22:25:22, 2025-03-18 22:27:06,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -69,        7,        0,   0.  0.  0.  0,  11, iPhone 😈, 
90:03:2E:8F:A6:79, 2025-03-18 22:25:22, 2025-03-18 22:27:08, 11, 130, WPA2, CCMP TKIP, PSK, -62,       17,        0,   0.  0.  0.  0,  17, Ooredoo-ALHN-FDD1, 
CA:E7:DA:F1:25:3B, 2025-03-18 22:25:22, 2025-03-18 22:27:07,  1, 360, WPA2, CCMP, PSK, -40,       57,        0,   0.  0.  0.  0,  28, DIRECT-XZLAPTOP-T86IDBAHmsLQ, 
7C:99:2E:13:30:E2, 2025-03-18 22:25:43, 2025-03-18 22:25:54,  9, 130, WPA2, CCMP, PSK, -67,        2,        0,   0.  0.  0.  0,  14, Ooredoo-1330E2, 
00:FB:5E:B6:2C:B6, 2025-03-18 22:26:07, 2025-03-18 22:26:07, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:E0:4C:E8:50:A8, 2025-03-18 22:26:48, 2025-03-18 22:26:48,  7,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5C:61:99:03:68:95, 2025-03-18 22:25:11, 2025-03-18 22:27:08, -22,      802, 08:AA:89:6D:36:A8,
96:A8:65:4C:D6:86, 2025-03-18 22:25:13, 2025-03-18 22:27:01, -52,       41, 08:AA:89:6D:36:A8,
AC:1E:9E:58:97:60, 2025-03-18 22:25:13, 2025-03-18 22:27:08, -40,       53, 08:AA:89:6D:36:A8,Ooredoo42CE93,Wake up
1C:9F:4E:0E:35:7F, 2025-03-18 22:25:13, 2025-03-18 22:27:01, -56,       58, 08:AA:89:6D:36:A8,
F8:1A:2B:FE:AA:24, 2025-03-18 22:25:13, 2025-03-18 22:27:05, -54,      209, 08:AA:89:6D:36:A8,
40:8E:F6:C8:DE:E3, 2025-03-18 22:25:13, 2025-03-18 22:27:05, -66,       50, 08:AA:89:6D:36:A8,
DA:AF:70:B1:D9:5B, 2025-03-18 22:25:13, 2025-03-18 22:27:05, -62,      269, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
92:79:8F:B2:A8:B4, 2025-03-18 22:25:13, 2025-03-18 22:27:06, -48,      281, 08:AA:89:6D:36:A8,
BA:A6:77:16:34:1B, 2025-03-18 22:25:13, 2025-03-18 22:27:06, -54,      311, 08:AA:89:6D:36:A8,
FC:AB:90:04:13:CA, 2025-03-18 22:25:13, 2025-03-18 22:27:08, -50,       86, 08:AA:89:6D:36:A8,
0A:71:DF:B3:BD:35, 2025-03-18 22:25:13, 2025-03-18 22:27:06, -56,       72, 08:AA:89:6D:36:A8,
26:DC:B8:64:BB:A0, 2025-03-18 22:25:13, 2025-03-18 22:27:08, -52,       54, 08:AA:89:6D:36:A8,
36:57:2E:21:8C:3C, 2025-03-18 22:25:13, 2025-03-18 22:25:13, -46,        2, (not associated) ,Qualite
CA:31:73:D5:86:72, 2025-03-18 22:25:13, 2025-03-18 22:27:04, -48,       22, 08:AA:89:6D:36:A8,
AA:23:4B:9F:D6:C4, 2025-03-18 22:25:13, 2025-03-18 22:27:05, -60,       14, 08:AA:89:6D:36:A8,
02:56:9A:12:66:20, 2025-03-18 22:25:13, 2025-03-18 22:27:01, -54,      135, 08:AA:89:6D:36:A8,
00:45:E2:D3:31:01, 2025-03-18 22:25:13, 2025-03-18 22:27:08, -46,      716, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
AA:C8:50:6E:1D:80, 2025-03-18 22:25:14, 2025-03-18 22:27:05, -64,       40, 08:AA:89:6D:36:A8,
5E:04:78:7B:DB:C4, 2025-03-18 22:25:14, 2025-03-18 22:27:05, -52,       76, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
90:10:06:C7:4C:CF, 2025-03-18 22:25:14, 2025-03-18 22:27:08, -52,       27, 08:AA:89:6D:36:A8,
6E:10:F3:D9:7F:3F, 2025-03-18 22:25:14, 2025-03-18 22:27:08, -52,      223, 08:AA:89:6D:36:A8,
