
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
5E:B6:2C:B6:C3:E8, 2025-03-18 22:27:10, 2025-03-18 22:27:59,  1,  65, WPA2, CCMP, PSK, -49,       15,        2,   0.  0.  0.  0,  14, Galaxy A5131B2, 
08:AA:89:6D:36:A8, 2025-03-18 22:27:11, 2025-03-18 22:28:05,  4, 130, WPA2, CCMP, PSK, -40,       29,      888,   0.  0.  0.  0,  18, OZONE_COFFEE_HOUSE, 
90:03:2E:8F:A6:79, 2025-03-18 22:27:13, 2025-03-18 22:27:58, 11, 130, WPA2, CCMP TKIP, PSK, -62,        5,        0,   0.  0.  0.  0,  17, Ooredoo-ALHN-FDD1, 
2E:A4:FE:C4:6B:C2, 2025-03-18 22:27:13, 2025-03-18 22:28:02, 11, 180, WPA2, CCMP, PSK, -61,       18,        0,   0.  0.  0.  0,  17, Redmi Note 10 Pro, 
CA:E7:DA:F1:25:3B, 2025-03-18 22:27:14, 2025-03-18 22:28:03,  1, 360, WPA2, CCMP, PSK, -39,       23,        0,   0.  0.  0.  0,  28, DIRECT-XZLAPTOP-T86IDBAHmsLQ, 
76:63:B5:53:E1:A9, 2025-03-18 22:27:17, 2025-03-18 22:27:58,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -62,        8,        0,   0.  0.  0.  0,  11, iPhone 😈, 
22:D7:7A:91:09:82, 2025-03-18 22:27:20, 2025-03-18 22:28:02,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -69,        1,        0,   0.  0.  0.  0,   6, iPhone, 
92:03:2E:CF:A6:79, 2025-03-18 22:27:32, 2025-03-18 22:27:58, 11, 130, WPA2, CCMP, PSK, -62,        5,        0,   0.  0.  0.  0,   0, , 
00:E0:4C:E8:50:A8, 2025-03-18 22:27:37, 2025-03-18 22:27:37,  7, 130, WPA2, CCMP TKIP, PSK, -66,        2,        0,   0.  0.  0.  0,  13, LELLA-HABIBA2, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
92:79:8F:B2:A8:B4, 2025-03-18 22:27:11, 2025-03-18 22:28:05, -62,      111, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
5C:61:99:03:68:95, 2025-03-18 22:27:11, 2025-03-18 22:28:05, -18,      354, 08:AA:89:6D:36:A8,
96:A8:65:4C:D6:86, 2025-03-18 22:27:11, 2025-03-18 22:28:05, -48,       25, 08:AA:89:6D:36:A8,
92:48:C4:16:84:5E, 2025-03-18 22:27:12, 2025-03-18 22:28:05, -18,       34, 08:AA:89:6D:36:A8,
1A:E2:C1:D4:B3:EC, 2025-03-18 22:27:12, 2025-03-18 22:28:04, -56,      202, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
02:56:9A:12:66:20, 2025-03-18 22:27:12, 2025-03-18 22:28:01, -44,       18, 08:AA:89:6D:36:A8,
DA:AF:70:B1:D9:5B, 2025-03-18 22:27:12, 2025-03-18 22:28:05, -46,      169, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
FC:AB:90:04:13:CA, 2025-03-18 22:27:12, 2025-03-18 22:28:05, -48,       17, 08:AA:89:6D:36:A8,
F8:1A:2B:FE:AA:24, 2025-03-18 22:27:12, 2025-03-18 22:28:05, -46,      109, 08:AA:89:6D:36:A8,
0E:D2:8C:67:42:42, 2025-03-18 22:27:12, 2025-03-18 22:28:05, -48,       15, 08:AA:89:6D:36:A8,
40:8E:F6:C8:DE:E3, 2025-03-18 22:27:12, 2025-03-18 22:27:57, -62,       16, 08:AA:89:6D:36:A8,
36:6A:59:C0:04:A8, 2025-03-18 22:27:12, 2025-03-18 22:28:05, -50,       49, 08:AA:89:6D:36:A8,
6E:10:F3:D9:7F:3F, 2025-03-18 22:27:12, 2025-03-18 22:28:05, -46,       85, 08:AA:89:6D:36:A8,
0A:71:DF:B3:BD:35, 2025-03-18 22:27:12, 2025-03-18 22:28:05, -66,       46, 08:AA:89:6D:36:A8,
22:B0:C7:4D:7A:79, 2025-03-18 22:27:12, 2025-03-18 22:28:05, -44,      400, 08:AA:89:6D:36:A8,
00:45:E2:D3:31:01, 2025-03-18 22:27:12, 2025-03-18 22:28:05, -58,      270, 08:AA:89:6D:36:A8,OZONE_COFFEE_HOUSE
1C:9F:4E:0E:35:7F, 2025-03-18 22:27:12, 2025-03-18 22:27:39, -72,       11, 08:AA:89:6D:36:A8,
5E:04:78:7B:DB:C4, 2025-03-18 22:27:12, 2025-03-18 22:27:57, -44,       16, 08:AA:89:6D:36:A8,
8A:38:7E:A7:34:16, 2025-03-18 22:27:12, 2025-03-18 22:28:05, -56,       16, 08:AA:89:6D:36:A8,
26:DC:B8:64:BB:A0, 2025-03-18 22:27:13, 2025-03-18 22:28:05, -46,       35, 08:AA:89:6D:36:A8,
AA:C8:50:6E:1D:80, 2025-03-18 22:27:13, 2025-03-18 22:28:01, -68,       19, 08:AA:89:6D:36:A8,
DA:87:87:99:0A:B0, 2025-03-18 22:27:13, 2025-03-18 22:28:05, -56,       56, 08:AA:89:6D:36:A8,
6E:4B:A6:E1:97:0C, 2025-03-18 22:27:13, 2025-03-18 22:27:14, -60,        2, (not associated) ,BEE_WIFI,Cafe el houma
AE:89:51:80:D5:70, 2025-03-18 22:27:14, 2025-03-18 22:27:14, -52,        3, (not associated) ,Qualite
CA:31:73:D5:86:72, 2025-03-18 22:27:15, 2025-03-18 22:28:05, -36,       15, 08:AA:89:6D:36:A8,
90:10:06:C7:4C:CF, 2025-03-18 22:27:16, 2025-03-18 22:28:05, -48,       15, 08:AA:89:6D:36:A8,
EE:98:51:71:FD:46, 2025-03-18 22:27:17, 2025-03-18 22:27:17, -64,       10, (not associated) ,OZONE_COFFEE_HOUSE,Orange-7686_5G,TT_80A0,APII-AP-GUEST,Aymen69,BEE_WIFI,Cafe el houma,Chambre parentale.v,
8A:BE:75:62:0D:07, 2025-03-18 22:27:20, 2025-03-18 22:28:05, -52,       18, 08:AA:89:6D:36:A8,
FA:5B:78:75:29:59, 2025-03-18 22:27:23, 2025-03-18 22:28:05, -58,        7, 08:AA:89:6D:36:A8,
FA:F4:A2:50:86:8E, 2025-03-18 22:27:24, 2025-03-18 22:27:24, -48,        1, (not associated) ,TOPNET_4040
4A:26:22:FA:92:5F, 2025-03-18 22:27:25, 2025-03-18 22:27:25, -66,        4, (not associated) ,OZONE_COFFEE_HOUSE,Orange-7686_5G,TT_80A0,GO GYM
BA:A6:77:16:34:1B, 2025-03-18 22:27:27, 2025-03-18 22:27:39, -56,        5, 08:AA:89:6D:36:A8,
CA:85:25:70:08:9D, 2025-03-18 22:27:27, 2025-03-18 22:27:27, -38,        1, (not associated) ,Guesmi
BE:FF:73:43:94:4C, 2025-03-18 22:27:27, 2025-03-18 22:27:27, -72,        1, 08:AA:89:6D:36:A8,
3A:07:AF:24:28:A7, 2025-03-18 22:27:29, 2025-03-18 22:27:29, -60,        1, (not associated) ,TT_80A0
AA:23:4B:9F:D6:C4, 2025-03-18 22:27:31, 2025-03-18 22:28:01, -54,        8, 08:AA:89:6D:36:A8,
7E:9D:53:86:A5:1F, 2025-03-18 22:27:35, 2025-03-18 22:27:46, -16,       13, 08:AA:89:6D:36:A8,
BE:67:D6:E0:F9:E8, 2025-03-18 22:27:35, 2025-03-18 22:27:35, -56,        4, (not associated) ,GO GYM,AGRO ALLIMENTAIRE,Chambre parentale.v,
F2:8F:6D:9D:D3:04, 2025-03-18 22:27:36, 2025-03-18 22:27:36, -62,        1, (not associated) ,
48:E7:DA:F1:25:3B, 2025-03-18 22:27:37, 2025-03-18 22:27:37, -48,        2, 5E:B6:2C:B6:C3:E8,
42:16:A7:1F:50:2C, 2025-03-18 22:27:45, 2025-03-18 22:27:45, -62,        5, (not associated) ,OZONE_COFFEE_HOUSE,Aymen69,BEE_WIFI,Cafe el houma,Chambre parentale.v,
26:E5:41:BA:44:E5, 2025-03-18 22:27:46, 2025-03-18 22:28:01, -58,        3, 08:AA:89:6D:36:A8,
12:09:0D:E9:36:9F, 2025-03-18 22:27:47, 2025-03-18 22:27:47, -36,        2, (not associated) ,Ooredoo42CE93,Wake up
64:6C:80:09:F8:35, 2025-03-18 22:27:47, 2025-03-18 22:27:47, -26,        2, (not associated) ,
32:58:9F:2A:59:25, 2025-03-18 22:27:50, 2025-03-18 22:27:50, -66,        1, (not associated) ,
4E:AF:3F:2F:A5:D9, 2025-03-18 22:27:51, 2025-03-18 22:27:51, -52,        5, 2E:A4:FE:C4:6B:C2,
7A:13:B2:CF:2C:06, 2025-03-18 22:27:52, 2025-03-18 22:27:52, -34,        2, (not associated) ,
86:1E:C5:0C:27:40, 2025-03-18 22:27:54, 2025-03-18 22:27:54, -62,        1, 08:AA:89:6D:36:A8,
72:9E:A1:53:E6:B7, 2025-03-18 22:27:58, 2025-03-18 22:27:58, -34,        2, (not associated) ,
CA:2B:7B:DC:0F:88, 2025-03-18 22:27:59, 2025-03-18 22:27:59, -62,       10, (not associated) ,APII-AP-GUEST,Aymen69,BEE_WIFI,Cafe el houma,Chambre parentale.v,
72:D7:D8:E6:BB:A6, 2025-03-18 22:28:02, 2025-03-18 22:28:02, -56,        1, (not associated) ,
7A:DC:CE:8C:91:9C, 2025-03-18 22:28:05, 2025-03-18 22:28:05, -52,        2, 08:AA:89:6D:36:A8,

